trade_id,entry_time,exit_time,entry_ts_ms,exit_ts_ms,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
1,2019-04-10T20:00:00Z,2019-04-28T04:00:00Z,1554926400000,1556424000000,5173.12,5301.26,0.81638106,98.12,2.48,17.33,vdo_trend_accel,trailing_stop
2,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,1556496000000,1558065600000,5391.25,7336.60,1.76804663,3420.02,36.08,18.17,vdo_trend_accel,trailing_stop
3,2019-05-17T20:00:00Z,2019-05-23T08:00:00Z,1558123200000,1558598400000,7634.45,7580.29,1.13258321,-74.21,-0.71,5.50,vdo_dip_buy,trailing_stop
4,2019-05-24T12:00:00Z,2019-06-04T00:00:00Z,1558699200000,1559606400000,8144.20,8107.55,1.08075957,-52.75,-0.45,10.50,vdo_trend_accel,trailing_stop
5,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,1559793600000,1561651200000,7887.04,11818.17,1.63605696,6402.56,49.84,21.50,vdo_trend_accel,trailing_stop
6,2019-07-03T04:00:00Z,2019-07-12T04:00:00Z,1562126400000,1562904000000,11441.57,11178.32,1.30162303,-364.47,-2.30,9.00,vdo_trend_accel,trailing_stop
7,2019-07-18T08:00:00Z,2019-07-23T16:00:00Z,1563436800000,1563897600000,10498.97,9920.66,1.06804487,-633.55,-5.51,5.33,vdo_trend_accel,trailing_stop
8,2019-07-25T04:00:00Z,2019-08-11T00:00:00Z,1564027200000,1565481600000,9886.29,11297.93,1.76481944,2461.39,14.28,16.83,vdo_trend_accel,trailing_stop
9,2019-08-16T16:00:00Z,2019-08-21T16:00:00Z,1565971200000,1566403200000,10333.08,9976.79,1.94170909,-720.88,-3.45,5.00,vdo_trend_accel,emergency_dd
10,2019-08-23T16:00:00Z,2019-08-28T20:00:00Z,1566576000000,1567022400000,10271.77,9675.55,1.67997784,-1026.03,-5.80,5.17,vdo_trend_accel,emergency_dd
11,2019-08-31T00:00:00Z,2019-09-09T04:00:00Z,1567209600000,1568001600000,9641.72,10289.92,2.00107227,1266.22,6.72,9.17,vdo_trend_accel,trailing_stop
12,2019-09-12T00:00:00Z,2019-09-19T04:00:00Z,1568246400000,1568865600000,10244.81,9812.88,1.96856198,-879.25,-4.22,7.17,vdo_trend_accel,emergency_dd
13,2019-09-20T00:00:00Z,2019-09-24T00:00:00Z,1568937600000,1569283200000,10155.66,9692.50,1.23263102,-588.83,-4.56,4.00,vdo_trend_accel,emergency_dd
14,2019-09-26T00:00:00Z,2019-11-03T12:00:00Z,1569456000000,1572782400000,8262.92,9146.11,2.23273015,1941.29,10.69,38.50,vdo_dip_buy,trailing_stop
15,2019-11-05T00:00:00Z,2019-11-14T12:00:00Z,1572912000000,1573732800000,9401.79,8627.49,0.78092649,-614.78,-8.24,9.50,vdo_trend_accel,emergency_dd
16,2019-11-17T04:00:00Z,2019-11-21T16:00:00Z,1573963200000,1574352000000,8490.49,7623.80,0.83892200,-736.68,-10.21,4.50,vdo_trend_accel,emergency_dd
17,2020-01-17T08:00:00Z,2020-02-16T20:00:00Z,1579248000000,1581883200000,9160.14,9736.17,2.02511179,1136.95,6.29,30.50,vdo_trend_accel,trailing_stop
18,2020-02-18T16:00:00Z,2020-02-26T08:00:00Z,1582041600000,1582704000000,9829.72,9138.93,2.10193822,-1480.80,-7.03,7.67,vdo_trend_accel,emergency_dd
19,2020-02-29T00:00:00Z,2020-03-08T16:00:00Z,1582934400000,1583683200000,8684.08,8392.45,2.12405251,-646.17,-3.36,8.67,vdo_trend_accel,trailing_stop
20,2020-03-11T04:00:00Z,2020-03-12T08:00:00Z,1583899200000,1584000000000,7936.19,7384.73,1.39464494,-784.54,-6.95,1.17,vdo_trend_accel,emergency_dd
21,2020-05-01T08:00:00Z,2020-05-10T04:00:00Z,1588320000000,1589083200000,9182.43,8614.11,0.17146251,-99.66,-6.19,8.83,vdo_trend,trailing_stop
22,2020-05-17T16:00:00Z,2020-05-25T00:00:00Z,1589731200000,1590364800000,9712.18,8709.42,1.50617863,-1530.00,-10.32,7.33,vdo_trend_accel,emergency_dd
23,2020-05-26T08:00:00Z,2020-06-06T08:00:00Z,1590480000000,1591430400000,9059.81,9600.24,1.71144044,900.28,5.97,11.00,vdo_trend_accel,trailing_stop
24,2020-06-07T20:00:00Z,2020-06-15T04:00:00Z,1591560000000,1592193600000,9597.87,9154.93,1.40641404,-642.27,-4.61,7.33,vdo_trend_accel,emergency_dd
25,2020-06-16T00:00:00Z,2020-06-25T04:00:00Z,1592265600000,1593057600000,9438.88,9091.03,1.65233341,-597.30,-3.69,9.17,vdo_trend_accel,emergency_dd
26,2020-06-29T20:00:00Z,2020-08-03T00:00:00Z,1593460800000,1596412800000,9180.43,11060.29,1.63069010,3038.41,20.48,34.17,vdo_trend_accel,trailing_stop
27,2020-08-10T04:00:00Z,2020-08-22T00:00:00Z,1597032000000,1598054400000,11897.63,11519.70,1.44122313,-569.58,-3.18,11.83,vdo_trend_accel,emergency_dd
28,2020-08-23T00:00:00Z,2020-09-03T16:00:00Z,1598140800000,1599148800000,11701.34,10659.61,1.47324642,-1558.28,-8.90,11.67,vdo_trend_accel,emergency_dd
29,2020-09-06T08:00:00Z,2020-09-22T08:00:00Z,1599379200000,1600761600000,10245.73,10362.54,1.52608520,154.54,1.14,16.00,vdo_trend_accel,trailing_stop
30,2020-09-26T08:00:00Z,2020-10-29T08:00:00Z,1601107200000,1603958400000,10738.16,13125.73,1.49754418,3546.02,22.23,33.00,vdo_trend,trailing_stop
31,2020-10-31T08:00:00Z,2020-11-26T08:00:00Z,1604131200000,1606377600000,13911.86,17593.31,1.39703304,5106.24,26.46,26.00,vdo_trend,trailing_stop
32,2020-11-28T12:00:00Z,2020-12-09T00:00:00Z,1606564800000,1607472000000,18515.29,18305.79,1.09424470,-259.29,-1.13,10.50,vdo_trend_accel,trailing_stop
33,2020-12-12T04:00:00Z,2021-01-11T08:00:00Z,1607745600000,1610352000000,18473.04,34337.89,1.28135976,20262.57,85.88,30.17,vdo_trend_accel,trailing_stop
34,2021-01-13T16:00:00Z,2021-01-15T16:00:00Z,1610553600000,1610726400000,36403.40,35575.19,0.21214989,-187.03,-2.28,2.00,vdo_trend,trailing_stop
35,2021-01-18T16:00:00Z,2021-01-22T00:00:00Z,1610985600000,1611273600000,36489.60,30821.15,0.57014591,-3258.21,-15.53,3.33,vdo_trend_accel,fixed_stop
